#frame,x,y,z,mux,muy,muz,gamma,0,0,0,0,0,0,signal,,x_normal,y_normal,z_nm
1,-902.23,1912.4,-63.6,0.5863,-0.65495,0.47674,0.63885,4390.8,5091.4,3169.1,-2533.3,2669.2,-2739.1,12651,,34.96283333,81.87333333,3.65E-08
1,579.55,-646,-49.985,-0.64501,0.61882,0.44836,0.86415,2414.1,2742.7,1676.6,-2433.6,-2518.8,607.95,6833.4,,59.65916667,39.23333333,4.78E-08
1,465.27,-773.78,-306.99,0.059424,-0.013861,0.99814,1,65.836,-788.31,2608.9,349.84,1363.2,-665.06,1886.4,,57.7545,37.10366667,5.01E-08
2,-949.6,1782.7,-88.625,0.68881,-0.56098,0.45918,0.72864,4097.6,3148.9,2025.3,-1807.2,2602.8,-2287.9,9271.9,,34.17333333,79.71166667,0.0000019
2,261.71,1861.3,-425.26,-0.15732,-0.9817,-0.10728,0.34476,3239.4,6245.1,2400.7,356.51,-2297.6,1468.2,11885,,54.36183333,81.02166667,-2.07E-07
3,-943.01,1841.3,-89.231,0.66133,-0.63943,0.39213,0.65494,3716.9,3719.7,1897.8,-2262.2,2153.9,-1385.2,9334.4,,34.28316667,80.68833333,2.44E-07
3,-94.817,1800.5,0.1311,-0.76487,-0.48271,0.42657,0.45594,1889.5,1157.9,1044.6,534.59,-484.57,-701.57,4092,,48.41971667,80.00833333,4.93E-08
3,-927.81,-550.04,780.47,0.43047,-0.13405,0.89259,0.55593,875.29,753.27,2321.2,-404.36,963.09,-142.49,3949.7,,34.5365,40.83266667,1.15E-08
4,298.11,-418.98,24.488,-0.32768,0.53938,0.77569,0.49241,1414,2092.2,3103.3,-799.96,-750.23,1208,6609.6,,54.9685,43.017,3.29E-08
4,-844,-427.47,446.27,0.73724,0.38258,0.55687,0.70268,1689.5,943.34,970.98,133.18,1263.8,371.58,3603.8,,35.93333333,42.8755,4.95E-08
5,351.14,-508.88,145.69,-0.38519,0.51691,0.76448,0.73812,1507.1,2449.5,4274.7,-1236.3,-1996.1,2150.7,8231.4,,55.85233333,41.51866667,-3.25E-07
5,-1066.3,181.1,993.39,-0.9619,0.1857,-0.20066,0.7188,5659.2,1183.1,312.02,-610.5,921.9,-1082.5,7154.3,,32.22833333,53.01833333,9.77E-08
5,-1008.3,-687.52,917.9,0.64339,0.31928,0.69578,0.63225,1624.7,1655,1703.6,50.121,2130.6,288.41,4983.3,,33.195,38.54133333,1.38E-07
6,351.4,-430.13,156.25,-0.35751,0.36776,0.85845,0.67567,494.39,602,1646.6,104.61,-703.91,559.13,2743,,55.85666667,42.83116667,1.09E-08
8,-87.236,-1776.1,-40.359,0.30137,-0.67375,0.67471,0.96948,259.96,1527.1,1519.7,-778.33,585.5,-1253,3306.8,,48.54606667,20.39833333,5.15E-08
9,531.97,-178.87,90.653,-0.6186,0.10151,0.77912,0.61802,1666.5,608.78,2314.9,-412.52,-1345.5,80.728,4590.2,,58.86616667,47.01883333,1.00E-07
10,1102,54.075,973.18,-0.89843,-0.22096,0.37947,0.49216,2278.9,655.48,1075.5,295.06,-523.31,-514.88,4009.8,,68.36666667,50.90125,1.71E-09
12,-522.79,-768.02,568.12,0.37323,0.83298,0.40847,0.78978,749.79,2344.2,806.97,1044.4,238.58,1142.1,3901,,41.28683333,37.19966667,8.81E-07
12,-843.79,-1068,-131.61,-0.92423,0.18829,-0.33219,0.4076,2030.9,563.45,1006,-260.53,-16.773,-652.74,3600.3,,35.93683333,32.2,1.68E-06
12,-1850.2,-1992.5,-50.444,0.3391,-0.65652,0.67379,0.57923,806.64,1263.5,1300.7,-188.88,569.09,-1143.1,3370.8,,19.16333333,16.79166667,1.45E-06
13,-389.36,890.88,566.53,0.52568,-0.73108,0.43495,1,2374.3,5412.2,2119.8,-5157.7,3117.3,-3436.6,9906.3,,43.51066667,64.848,6.03E-08
13,-904.53,901.5,845.07,0.58581,-0.67416,0.44982,0.99997,1424.3,1581,20.821,-548.55,770.43,-1204.8,3026.1,,34.9245,65.025,1.25E-07
14,-434.34,844.59,506.93,0.56372,-0.61945,0.54635,1,1005.4,1371.1,1265.6,-2135.9,1433,-1352.1,3642.1,,42.761,64.0765,1.55E-06
14,1808.3,-726.11,-34.538,0.055901,-0.98811,0.14325,1,30.61,4336.9,39.623,-244.3,19.199,-656.45,4407.1,,80.13833333,37.89816667,5.46E-07
15,-422.41,-1687,-52.362,0.32891,-0.93293,0.14647,0.64042,1443.1,6738.1,1852.7,-2421,290.01,-548.86,10034,,42.95983333,21.88333333,2.62E-06
16,1349.2,1715.9,-52.599,-0.61047,0.73905,-0.28485,0.5276,2557.9,3007.1,1273.1,-1423.1,285.41,-1203.6,6838.1,,72.48666667,78.59833333,-3.35E-07
16,1243.4,1972.5,-392.07,0.51984,-0.79964,0.30057,0.96114,2025.9,3251.8,273.57,-378.82,1175.1,-4195.9,5551.2,,70.72333333,82.875,2.46E-07
16,-551.1,-738.44,533.86,0.40162,0.7771,0.48457,0.94195,435.74,1320.9,482.24,503.53,383.98,841.68,2238.9,,40.815,37.69266667,5.75E-08
17,1407.9,1301,-546.62,-0.5894,-0.8053,-0.064012,1,802.64,1334.4,-108.66,486.11,969.99,-316.28,2028.4,,73.465,71.68333333,1.09E-06
17,1266.8,-818.63,-20.089,-0.94273,0.18793,0.27559,0.81153,5262.1,627.76,899.17,-1086.5,-1483.7,-279.54,6789,,71.11333333,36.35616667,0.000001018
17,1413.1,942.21,-38.768,0.58941,-0.72836,0.3494,0.75504,1596.6,2177.7,801.12,-1494.8,572.92,-985.46,4575.5,,73.55166667,65.7035,0.000001628
17,-193.62,591.98,90.457,0.40238,-0.89798,0.17811,0.68323,935.39,2995.3,607.28,-892.93,893.27,-232.6,4538,,46.773,59.86633333,2.71E-06
17,-558.29,-699.45,463.24,0.45495,0.74983,0.48039,0.60475,777.53,1462.6,791.91,465.1,485.9,618.94,3032,,40.69516667,38.3425,-0.0000001
18,1101.8,1623.3,-35.667,0.14509,-0.98908,0.025986,0.994,356.49,22906,338.36,-3450,998.08,-550.2,23601,,68.36333333,77.055,6.46E-08
19,1106.4,1632,-11.969,0.13485,-0.98981,0.045641,0.93991,-103.13,4947.9,533.23,-817.23,538.83,-137.06,5378,,68.44,77.2,7.05E-08
21,380.76,-551.85,213.24,-0.42261,0.60367,0.67601,0.82039,1558.2,2851.4,3326.7,-1238.8,-1991.7,2466.7,7736.2,,56.346,40.8025,1.87E-06
