"frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty_xy [nm]"
14,148279.26253,22309.52654,209.7585,10744.99136,143.82238,26.76646,8.69822
14,184595.70246,23452.4226,289.83836,22319.10768,101.92836,28.76553,8.53687
14,257093.32468,22470.04519,248.85766,21650.75086,113.67587,29.42366,6.71959
14,257119.75173,22454.05975,187.79202,11089.46308,155.17733,34.81944,8.70867
15,79479.59274,22676.03018,413.44515,84012.89013,8.87441,30.61839,5.03341
15,184534.33751,23474.93255,255.56801,14558.06145,177.52101,26.00579,9.22128
15,184543.66706,23472.792,330.26384,41603.7695,75.14208,33.08123,6.85713
15,184630.86966,23458.07868,226.66195,13899.80932,157.37431,32.0751,9.29915
15,221640.81651,22390.19561,330.82296,26110.92382,130.20738,24.08256,8.04729
15,221647.94744,22477.48667,407.66891,73695.74371,0.00001,27.80795,5.09844
15,257114.04853,22446.93988,202.01937,10146.13437,232.98522,30.91544,9.76779
16,43187.67691,22204.14371,381.04495,64813.79194,0.00002,27.94742,5.09036
16,43140.69005,22353.41379,378.2652,62881.05374,9.02895,32.56036,5.90462
16,116148.56229,22586.16351,241.71609,29031.15966,84.98091,47.87491,7.50312
16,148244.86212,22291.03952,276.6463,26725.7908,97.72053,32.81621,7.41591
16,184620.13199,23488.77399,311.80234,29872.02497,104.94794,25.13987,6.5889
16,184618.41923,23449.48663,361.51138,60268.25989,0.00002,24.4078,4.41109
17,43160.64298,22288.83873,235.9902,12569.61044,144.29645,30.71973,10.63534
17,116150.39597,22564.56188,193.92256,13194.91211,152.35428,38.46318,8.58981
17,148243.63947,22275.55443,305.14559,19638.36976,119.54856,36.21205,13.23498
17,184588.53966,23475.20605,235.75614,14535.18665,115.00057,34.56898,10.30005
17,257093.55999,22429.31073,218.06651,17677.66382,103.63399,29.0793,6.2852
18,43165.97185,22339.86497,357.38988,57267.27281,27.52075,38.11401,6.68181
18,43158.27555,22306.0646,360.16442,51678.8179,63.68846,36.51236,7.19389
18,79368.16065,22633.86153,248.65524,16920.388,152.17307,32.86873,9.39739
18,116144.07963,22589.42593,210.06623,18582.5231,166.74046,43.22411,8.0187
18,148223.91003,22316.4827,332.35322,46683.50957,55.55943,24.95423,4.86774
18,184655.81194,23460.55827,313.50224,47482.39974,5.74612,30.61432,5.12191
18,221604.2683,22514.71175,292.83218,26494.12229,99.67944,28.86353,7.41452
18,257102.83292,22450.72545,310.79911,56613.69529,0.00001,31.62303,4.40015
19,43127.31048,22331.50478,372.06315,55501.63097,13.69865,22.51955,4.68948
19,43186.92234,22195.77033,240.02677,12776.02044,140.86967,21.78893,7.91268
19,116165.54301,22573.71349,276.14158,42511.33315,9.34877,36.14796,5.18673
19,148222.22817,22300.50949,270.57179,14598.32873,150.47447,25.37811,10.0256
19,184596.5098,23457.38346,316.26827,42937.45744,3.1971,28.41938,5.36167
20,43187.80931,22266.19771,270.13123,19324.6267,109.97495,24.60226,7.44334
20,79429.7539,22656.87656,229.90874,14639.61051,113.74047,31.85577,9.03241
20,184552.76258,23471.78369,254.8432,18435.68968,82.03973,28.37891,7.92571
20,257124.50121,22459.89059,188.3719,10474.3364,158.13711,31.85777,8.52399
21,7592.85329,21961.16968,316.54446,50831.84743,0.00002,41.40286,6.40883
21,7612.54483,21957.28495,220.57486,14482.86467,152.08228,35.9186,9.42629
21,43167.40344,22194.6095,245.27587,15506.45041,119.89671,27.22568,8.3723
21,43194.56227,22255.71955,258.96467,15110.78819,149.66873,37.21299,12.75328
21,43205.89281,22219.34475,262.99621,20078.81533,105.18312,30.88774,8.37809
21,79439.06475,22692.28846,393.20812,63215.38965,0.00001,34.21368,6.61031
21,116153.0387,22574.45057,227.4403,19012.78773,122.18012,46.13958,9.72304
21,116200.00044,22582.05235,248.96347,23230.7589,118.18102,49.06079,10.10264
21,148224.85542,22297.25974,351.70627,52019.16661,0.47372,29.15412,5.58467
21,184574.27148,23442.28147,359.52525,44712.59217,36.88456,34.19489,7.75625
21,184606.65187,23466.85042,270.33607,22072.44874,79.45493,33.65594,8.72707
21,257081.43694,22424.2825,230.33672,17183.9631,109.50856,25.69156,6.41051
22,79424.57643,22661.74102,280.9358,25930.50062,119.37422,33.63556,8.04092
22,116141.97869,22567.81986,214.50686,17532.30607,171.32867,43.01399,8.79228
22,148131.1999,22294.81642,216.72373,10878.49866,172.32049,26.35638,9.01744
22,184592.51197,23445.98384,236.21088,11911.95931,190.39666,32.55629,11.85308
22,221634.36979,22501.949,359.11586,39093.86854,85.88944,25.2904,6.70207
23,43155.61185,22274.92044,232.02715,12802.79037,155.35802,26.3566,8.78451
23,116119.3794,22613.62004,184.61995,13437.35056,147.94017,39.49608,7.87482
23,148246.18029,22320.02565,357.31758,34318.6212,87.50757,24.8862,7.39947
23,148277.41095,22318.40047,396.31513,64279.92358,0.00002,27.86273,5.50373
23,221661.9551,22498.56357,262.20249,12225.1222,134.43243,26.12637,11.5005
24,7643.08011,21953.09724,240.55631,20379.29688,91.74636,35.68018,7.95558
24,79434.85503,22662.96266,337.07444,46386.33487,0.22731,30.26278,5.93532
24,116175.22731,22571.22576,190.29002,11589.98271,165.46812,40.48283,9.85687
24,148207.37824,22277.78122,395.73067,62854.39901,0.00002,31.70482,6.28142
24,148249.76652,22332.55518,351.89552,49043.51028,0.41683,27.11073,5.54513
24,184596.42819,23458.89412,224.36908,14720.5101,98.57959,28.33313,7.7058
24,257123.73485,22459.25544,286.05426,40312.20285,0.00001,39.97322,6.38735
25,7617.69879,21960.4231,221.64218,15634.43187,160.22658,39.90232,9.75185
25,43163.64298,22271.61368,295.97986,21416.66183,145.8552,29.45265,9.44709
25,148156.66724,22319.9998,269.5472,22705.55036,102.18335,25.56217,6.58837
25,221657.16525,22385.35723,260.15078,11387.18458,154.76759,23.31447,10.91984
25,221630.92275,22478.06555,371.69088,43309.27027,66.54452,34.96811,8.70341
25,257020.95917,22430.74926,223.02202,14192.44967,145.01776,26.50671,7.42923
26,184585.23198,23462.00442,336.49399,45681.38069,0,28.35366,5.66799
26,184641.58359,23461.10598,297.07361,27550.17211,62.1769,29.61806,7.51431
26,221643.9438,22499.64613,315.39624,29969.24462,41.07856,29.80678,7.81468
26,221614.95285,22457.14012,385.90272,53519.71336,0,32.4298,7.1217
26,257097.7868,22435.96649,195.53987,11211.8759,145.67029,34.88407,9.32539
27,7607.24502,21952.57501,189.0111,10009.28788,171.13674,31.9223,8.97883
27,43187.42641,22223.73732,404.648,68566.48499,1.59963,30.9393,5.90403
27,79416.37437,22621.97365,377.36226,59376.33493,3.5673,30.26571,5.8155
