,0
0,1.0
1,0.9850797762509329
2,1.0
3,1.0
4,0.9205713024484514
5,1.0
6,1.0
7,0.9446351571169678
8,1.0
9,1.0
10,0.9155181325724442
11,1.0
12,1.0
13,0.9826353330555737
14,1.0
15,1.0
16,1.0
17,0.8798723274861706
18,0.9047944272867441
19,0.9014269475473247
20,1.0
21,0.8996054167773841
22,0.9135549538245
23,1.0
24,0.9042537421947647
25,0.9683727721170223
26,1.0
27,0.8603176717626271
28,0.9774815122060632
29,1.0
30,0.8470917584206265
31,0.9597710662440933
32,1.0
33,0.8505734430773314
34,0.985033735630272
35,1.0
36,0.8919468607736187
37,0.9553373956323117
38,1.0
39,0.9001689710543326
40,0.9022123673402076
41,1.0
42,0.9147569901826156
43,0.9103315901187923
44,1.0
45,0.8977799248904206
46,0.8774226846166466
47,0.8061219649784614
48,0.8183948377114203
49,0.9859447994228601
50,0.9350880723734493
51,0.7589956530763886
52,0.9631698901693135
53,0.9268879529414356
54,0.7896068600763626
55,0.992033567226597
56,0.8093751433026877
57,0.873190885568333
58,1.0
59,0.9006578521067572
60,0.996250394948968
61,1.0
62,0.961451127071844
63,1.0
64,1.0
65,0.9519406377752782
66,1.0
67,1.0
68,0.9697106204011268
69,1.0
70,1.0
71,0.9179731869558267
72,1.0
73,1.0
74,0.9042979372393949
75,0.8682983710001582
76,1.0
77,0.9215529850758505
78,0.7999279612856953
79,1.0
80,0.7636440068260621
81,0.7730473049037281
82,0.9733301030883381
83,0.8075354128755767
84,0.823657164125853
85,0.9982933377286172
86,0.8815085194498318
87,0.8348803238091251
88,0.7135253215317698
89,0.9037509007257744
90,0.9462611115953554
91,0.6873254032341349
92,0.7537609079629831
93,0.9330672751292712
94,0.7116815675543045
95,0.7399771515283464
96,0.9843396648240081
97,0.8300053829462399
98,0.9477705892985417
99,1.0
100,0.8232139158769041
101,0.9445564211219544
102,1.0
103,0.9254128453373419
104,0.738587715832614
105,0.9750445424551621
106,0.91669274049049
107,0.6908658034438195
108,0.936688917220821
109,0.7076222619027019
110,0.7247518169965199
111,0.9498760290472616
112,0.8317538509768514
113,0.8736117565766229
114,0.7026504412221342
115,0.9066450757809682
116,0.949354122749412
117,0.9073051008614146
118,0.8774540539011518
119,0.9589960272261638
120,0.6876842364561777
121,0.7109071989636679
122,0.9679241218255674
123,0.6838084065662722
124,0.7160232226646699
125,0.978456554660408
126,0.9116903419689338
127,0.8791186495750787
128,0.9190472351071324
129,0.7481116329471093
130,0.9117266874193922
131,0.9562046280737313
132,0.79525041563161
133,0.8181205188886076
134,0.9884072541624809
135,0.7087657672968778
136,0.6971824726874924
137,0.9458253959320977
138,0.6827938347084861
139,0.7207097826796245
140,0.9862217864524698
141,0.6821657635374265
142,0.7171920861736605
143,0.9880207588085086
144,0.6871452985634265
145,0.702377087819227
146,0.9481648423363531
147,0.8041981892469732
148,0.8233634795472811
149,0.9953871702763779
150,0.8760321444355479
151,0.7516412876083858
152,0.7651910986098598
153,0.9701913760946279
154,0.927895043735426
155,0.746873115924318
156,0.9804250663678007
157,0.925990799577028
158,0.7439188313011225
159,0.9842448728429709
160,0.7553888705629765
161,0.7597737859492151
162,0.9632911167342408
163,0.856755635763158
164,0.9103531568434406
165,0.9012122172444579
166,1.0
167,0.9282350207961368
168,0.7894380435373527
169,0.9882211929788349
170,0.8422570629496999
171,0.9307978696911561
