,0,1
0,40240.0751474772,12144.0
1,5080.974382965928,650.0
2,5396.76437508421,675.0
3,4445.530969465766,586.0
4,10199.42692562072,1210.0
5,3630.318165309954,489.0
6,4439.279910476012,545.0
7,4556.09291221204,567.0
8,16807.381503111115,1851.0
9,5847.8470229386885,781.0
10,7054.506959846921,845.0
11,8216.824807721636,868.0
12,6458.871826002278,787.0
13,4952.1028027361845,925.0
14,6521.405636470173,831.0
15,7984.833853118013,845.0
16,6862.000123086336,811.0
17,5848.977639708638,845.0
18,6043.605297070392,874.0
19,5948.932034455478,839.0
20,6294.357044577383,825.0
21,5039.238567189646,788.0
22,15836.425299254292,2372.0
23,5888.141786921169,874.0
24,6892.497751565667,945.0
25,6398.267200467436,915.0
26,8325.691497659142,1127.0
27,13825.026925480948,1449.0
28,5968.930139881189,640.0
29,6943.9300515554505,678.0
30,4892.918544700984,563.0
31,3755.1154924235334,608.0
32,5165.9150197969675,572.0
33,7278.016305203207,688.0
34,6143.888758748661,650.0
35,19455.683302916885,3858.0
